node,pagerank_manual,pagerank_networkx
0,0.00038099646177031094,0.00037030550532538204
4,8.384152222517154e-05,7.750134280134067e-05
5,0.000113189508681867,0.00010471685645232358
7,2.7132067802247595e-05,2.601738047008312e-05
8,8.3346936062426e-05,8.132150381299275e-05
9,1.4087014820611539e-05,1.3350596712661188e-05
10,0.0001555564575148927,0.00014644289738100402
11,7.61354420719365e-05,7.033348728188478e-05
12,0.00025545172324152593,0.00023834185922877349
13,0.00023062403775482245,0.00022992791364294816
14,0.00016050905124270637,0.00015426459056561452
15,4.733872485134653e-05,4.640208475075089e-05
16,3.6611289586897036e-05,3.4827657762816684e-05
17,0.00013941084343069334,0.0001419779225349354
18,0.002674372259991647,0.0026863937233060865
19,0.0002725891903088034,0.0002520690046097467
20,0.00014494593307924668,0.00013807890133952662
21,0.000204518463222008,0.0001942479350570611
22,0.00015400961526199907,0.00014515447768857675
23,4.48312236890528e-05,4.0869866014962004e-05
24,0.000140471062451371,0.00013040319908901366
25,7.500858715512814e-05,7.093214826541082e-05
26,0.00012347512645301316,0.0001163953366995449
27,0.0006008180349086839,0.0005820705358523083
28,0.00044223438861606506,0.0004252678831506156
29,0.00021591067428069008,0.0002011607574425645
30,0.0002694552830989753,0.0002469848430033165
31,0.0003721844476765284,0.00035191498005067456
32,0.00011104375711431838,0.0001079881731358935
33,0.00013250564650765543,0.00012300260955253235
34,0.00041698982847427496,0.0003943245590931941
35,0.00023960142742839992,0.00023087060842505173
36,6.142851905966821e-05,6.12798520621052e-05
37,0.0001151993913316785,0.00010535239288842651
38,7.001794153301101e-05,6.399400411810952e-05
39,0.0001362021435708745,0.00013230683259734508
40,0.0005917516409913761,0.0005606769713825731
41,2.331058714255087e-05,2.2640129782862297e-05
42,3.5660654072732195e-05,3.4268217366363256e-05
43,0.0001620263544642291,0.00015154644591513735
44,0.00047495885953303935,0.0004725981450766694
45,0.00015537583359661027,0.00015034889964645815
46,0.00027882959460537353,0.0002764560801318469
47,2.682604035039848e-05,2.5782335635511718e-05
48,0.00021077846140760587,0.0001950812366939592
49,0.0004912955621032405,0.00048616160606127434
50,0.00014371485628467652,0.0001318982975175244
51,0.00016979948238986703,0.00015948980724644148
52,2.2974847219628455e-05,2.19850983678197e-05
53,0.00013354984059790783,0.0001266157333423214
54,0.0001576681893391397,0.00014982311015922082
55,0.00013567374841636642,0.00012692743601711156
56,9.731779086627548e-06,9.655934337882388e-06
57,5.9098559240628994e-05,5.7560406267702745e-05
58,0.00018007271241876063,0.00017064667231374192
59,0.0004592249634467371,0.0004446104269009814
60,8.02673725054738e-05,7.86276004295018e-05
61,0.00018091276721984446,0.00016567228545320814
62,7.076768179246383e-05,7.101822212829009e-05
63,0.00017648311942719552,0.00017087891669274603
64,0.0005634712519953224,0.0005647546241562108
65,0.00016572561742074805,0.0001573994663180777
66,0.00022244061149484965,0.0002134771862777881
67,0.000235768261875388,0.00023496368673158686
68,0.00012761351145927584,0.00012012129016354862
69,0.00019208948242091048,0.00018324968071861827
70,2.812548945504325e-05,2.779272281631759e-05
71,0.0001485510175192205,0.0001425006689329404
72,0.00016934093434474665,0.00015655498787770314
73,0.00010584851219945798,9.832408486144781e-05
74,0.0003399208579202377,0.00032008830465684527
75,7.919594456731946e-05,7.520099837231249e-05
76,0.00011439308023529038,0.00010952474081187215
77,0.0005330362313407922,0.0005155136515224862
78,0.00014714243420185173,0.00013886816616780106
79,0.00016190991599151241,0.0001552443382110575
80,4.319188945553744e-05,4.2257845951883785e-05
81,0.0002198197039597098,0.0002010310602129721
82,7.232536650020464e-05,7.258165957957737e-05
83,0.00019346455368058057,0.0001819299259245289
84,7.017110569895477e-05,7.126011653063191e-05
85,0.00019738024187444515,0.00019521940960407443
86,4.3079697162064717e-05,4.1362818546849606e-05
87,7.723869776574744e-05,7.186130402268209e-05
88,0.00012401880515849895,0.00011683429564942724
89,7.071087407602322e-05,6.292612540399495e-05
90,0.0002751642651684614,0.0002578031538182715
91,6.395395681744292e-05,6.377258298121362e-05
92,0.00023675273976953696,0.000233995762086071
93,0.0001653849682448595,0.00015694382012033245
94,2.1100580245501225e-05,2.0705376400321165e-05
95,2.3079016335024567e-05,2.3194425148674243e-05
96,0.00020818796961045093,0.00019404255486993652
97,0.00011888502349346886,0.00011123571168501817
98,6.685990515417872e-05,6.575167722988281e-05
99,4.637760462700399e-05,4.60877631040746e-05
100,0.0001582680817971253,0.00014894892738672501
101,0.00017952570464957254,0.00016722768785009266
102,0.0002469311528951914,0.00023394316770367424
103,0.0002737615303428347,0.0002572077356251851
104,0.00022999356627242102,0.00021677011806898382
105,0.0001346283408803698,0.00013015311965916876
106,4.2614483930304055e-05,4.0109579897848475e-05
107,0.00021334533829430624,0.00020618697908656483
108,8.104585948474844e-05,7.534366560417952e-05
109,9.331492854858846e-05,8.915326232128898e-05
110,0.00016361425385742228,0.00016143333927183686
111,9.671433871218486e-05,9.197252896657629e-05
112,0.0001890751185421614,0.00018778663038727174
113,8.605241179280432e-05,8.21154093685724e-05
114,2.0169221783233417e-05,1.99352976300256e-05
115,0.00014483888418069646,0.0001420325885803616
116,0.00010131157498832772,9.492112671107186e-05
117,0.000127799699890897,0.00011812618235914292
118,0.0009444694847867784,0.0009318406481310043
119,9.915921350102147e-05,9.732913897398258e-05
120,0.00014505823302342338,0.00014261115696782487
121,1.2676329893060454e-05,1.2594598809785731e-05
122,0.00011946147615629922,0.00011108263472963266
123,0.0001003994323481521,9.619333473970154e-05
124,8.897073021137005e-05,8.607932087190396e-05
125,0.00040028633806461365,0.00039374037645062236
126,7.340426579412617e-05,7.189283403308455e-05
127,0.0001899958240819401,0.00018025648588608552
128,0.0005578921016442425,0.0005476158189377319
129,3.2980916664654406e-05,3.3089499488279935e-05
130,0.00030936342641208695,0.0003030335050703153
131,3.5168049694428435e-05,3.5578628413957756e-05
132,9.00605223531871e-05,8.77140678684414e-05
133,0.00011678797036679636,0.00011470162746464628
134,0.0001013753575718528,0.00010219058620350801
135,0.00048780634360442396,0.0004659747745998998
136,0.0010171387564724976,0.001018852808923324
137,9.02429115431791e-05,9.008271354592949e-05
138,0.0003047154471631858,0.00030469795613432215
139,7.764229072080432e-05,7.586404949024817e-05
140,0.0001428255100679936,0.00013871285965387067
141,0.00018913196576960932,0.0001831508212377091
142,6.363574628297344e-05,6.412328619520734e-05
799,1.797337947981362e-05,1.7890381905145298e-05
1,0.0004930491206677385,0.000482712801686249
169,0.0002103220260278184,0.00019736088026156944
223,0.0001554719838473871,0.00015260829849121562
233,0.00013917108972415728,0.00012816320560319686
295,0.0002862523562277674,0.0002709499800787569
310,5.507905472139266e-05,5.13657320592166e-05
333,0.00013426344755654746,0.0001207136948650629
